"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NDUFB3",0,0.337178893817106,0.818,0.684,0
"SUMO1",0,0.298045992772499,0.885,0.807,0
"NBEAL1",0,0.213214501330062,0.837,0.707,0
"PARD3B",0,-0.267645728716973,0.095,0.253,0
"KLF7",0,0.555762273950069,0.495,0.311,0
"IKZF2",0,-0.263844143380696,0.209,0.386,0
"SPAG16",0,0.200182973925705,0.572,0.447,0
"BARD1",0,0.224811457076049,0.438,0.31,0
"ATIC",0,0.19915817175478,0.523,0.401,0
"XRCC5",0,0.282989698616231,0.919,0.86,0
"IGFBP2",0,1.01769749049047,0.903,0.831,0
"TNS1",0,0.130009210315795,0.183,0.081,0
"TUBA4A",0,0.386849554916091,0.715,0.518,0
"CHPF",0,0.356542441655213,0.626,0.409,0
"LINC02832",0,0.51950607276696,0.262,0.085,0
"AC019211.1",0,0.637965686296167,0.303,0.124,0
"AC067956.1",0,0.293050548697273,0.205,0.073,0
"SERPINE2",0,-0.260079041999603,0.557,0.685,0
"IRS1",0,0.191680743485366,0.332,0.2,0
"CCL20",0,-0.122676604490278,0.077,0.174,0
"PID1",0,-0.148964919125971,0.019,0.121,0
"PTMA",0,-0.248307059175995,0.995,0.996,0
"INPP5D",0,0.223405296927993,0.177,0.009,0
"MROH2A",0,0.142427282741548,0.12,0.018,0
"AC097713.1",0,0.146094642534615,0.153,0.063,0
"ARL4C",0,0.733301047863899,0.899,0.765,0
"IQCA1",0,-0.177923044004457,0.17,0.303,0
"LRRFIP1",0,0.381223148617821,0.849,0.705,0
"GPC1",0,0.297553857536166,0.581,0.399,0
"AC069277.1",0,-0.305596382125789,0.07,0.272,0
"GRM7",0,-0.118252334490428,0.007,0.106,0
"LMCD1-AS1",0,-0.4807468385616,0.251,0.478,0
"LMCD1",0,-0.149191640954086,0.239,0.389,0
"BRK1",0,0.243640988053837,0.921,0.851,0
"IRAK2",0,-0.225182614005713,0.161,0.303,0
"WNT7A",0,0.0685932779181638,0.121,0.041,0
"SGO1-AS1",0,-0.168479147243804,0.04,0.136,0
"UBE2E2",0,0.214124774256872,0.594,0.394,0
"THRB",0,-0.364600558766516,0.195,0.38,0
"RARB",0,-0.201302930048247,0.03,0.176,0
"RBMS3",0,-0.526697670301727,0.437,0.556,0
"LINC01811",0,-0.451124006194285,0.009,0.185,0
"CDCP1",0,0.326431717359029,0.628,0.44,0
"TMEM158",0,0.103727773868057,0.173,0.075,0
"ALS2CL",0,0.0931807597190791,0.135,0.05,0
"TMA7",0,-0.226068860889475,0.953,0.955,0
"MANF",0,0.213165806063314,0.625,0.495,0
"DUSP7",0,0.147939954578331,0.242,0.116,0
"TWF2",0,0.158936574462042,0.444,0.303,0
"TKT",0,0.381697694575024,0.933,0.91,0
"CACNA2D3",0,1.76927472379986,0.358,0.05,0
"ESRG",0,0.426059104617205,0.245,0.002,0
"LRTM1",0,0.15148595003553,0.106,0.003,0
"ERC2",0,-0.233689489003284,0.037,0.135,0
"DNASE1L3",0,0.170673039933953,0.134,0.013,0
"ABHD6",0,0.130354777520742,0.241,0.105,0
"FAM3D",0,-0.412523335286625,0.003,0.142,0
"AC126121.3",0,0.681370510645581,0.26,0.041,0
"PTPRG",0,0.333626013153589,0.484,0.296,0
"PRICKLE2",0,0.125385598268844,0.217,0.091,0
"LRIG1",0,-0.248548097301183,0.298,0.458,0
"MITF",0,-0.114661137231721,0.027,0.124,0
"PDZRN3",0,-0.243065201201453,0.024,0.121,0
"ROBO2",0,-0.535475633972398,0.086,0.194,0
"ROBO1",0,-0.548576603985131,0.434,0.553,0
"GBE1",0,0.364664107708676,0.677,0.463,0
"PROS1",0,-0.126657405621543,0.049,0.15,0
"MTRNR2L12",0,-0.461740928243167,0.854,0.866,0
"ST3GAL6",0,-0.439366995614117,0.229,0.37,0
"DCBLD2",0,0.332063016864331,0.808,0.705,0
"FILIP1L",0,-0.334775087928061,0.54,0.643,0
"ABI3BP",0,-0.390052645024509,0.083,0.265,0
"RPL24",0,-0.168511814547031,0.995,0.995,0
"NFKBIZ",0,-0.455233786267137,0.464,0.636,0
"ZBED2",0,0.313173699384728,0.284,0.087,0
"SIDT1",0,-0.099709072172334,0.034,0.128,0
"AC026341.1",0,-0.224232594804174,0.021,0.137,0
"AC068633.1",0,0.589723272474927,0.406,0.189,0
"COX17",0,0.292782613742844,0.824,0.711,0
"FSTL1",0,-0.103579107531445,0.059,0.149,0
"HCLS1",0,0.112105317536252,0.103,0.033,0
"SLC15A2",0,-0.170815432887385,0.122,0.247,0
"CSTA",0,-0.251312235327939,0.865,0.887,0
"HEG1",0,0.153627811148363,0.347,0.194,0
"CNBP",0,-0.216180438933667,0.91,0.935,0
"H1FX",0,-0.255120652993203,0.914,0.938,0
"IFT122",0,-0.176910292475219,0.208,0.344,0
"IL20RB",0,0.315054600351737,0.57,0.394,0
"RBP1",0,0.580057414276382,0.948,0.89,0
"CLSTN2",0,0.144298596679061,0.101,0.005,0
"PCOLCE2",0,0.171510208615693,0.241,0.137,0
"CHST2",0,0.120996425795458,0.12,0.03,0
"PLSCR4",0,-0.203702600718252,0.091,0.262,0
"ZIC1",0,-0.134203280990977,0.001,0.132,0
"HLTF",0,-0.192930409533077,0.427,0.546,0
"CP",0,-1.414979874219,0.135,0.571,0
"TM4SF1",0,-0.270014846939745,0.808,0.893,0
"WWTR1",0,0.366187525153083,0.919,0.806,0
"TSC22D2",0,0.216344334161062,0.607,0.466,0
"AADACL2-AS1",0,-0.192599885015102,0.061,0.197,0
"MME",0,-0.158407281458221,0.012,0.1,0
"SSR3",0,0.272761723307358,0.831,0.742,0
"TIPARP",0,0.360853331664058,0.604,0.381,0
"PTX3",0,-0.145806673733816,0.015,0.116,0
"IQCJ-SCHIP1",0,0.239915025598793,0.515,0.361,0
"PPM1L",0,-0.30196318139419,0.167,0.312,0
"SPTSSB",0,-0.251396962789444,0.125,0.283,0
"LINC01322",0,0.180626503457711,0.197,0.063,0
"PDCD10",0,0.23183524346107,0.836,0.756,0
"MECOM",0,-0.549486157514352,0.551,0.683,0
"SKIL",0,-0.280468035848177,0.417,0.534,0
"RPL22L1",0,0.269374995470101,0.872,0.734,0
"TNFSF10",0,-0.457348190819324,0.611,0.714,0
"NAALADL2",0,-0.941116882148495,0.329,0.519,0
"KCNMB2-AS1",0,-0.0525516354762656,0.321,0.594,0
"ZMAT3",0,0.160165441382485,0.264,0.128,0
"GNB4",0,0.166807734679432,0.4,0.248,0
"SOX2",0,-0.472356342132966,0.426,0.619,0
"B3GNT5",0,0.170244908905372,0.535,0.39,0
"AP2M1",0,0.207172272754954,0.91,0.872,0
"POLR2H",0,0.289725755845086,0.833,0.771,0
"DNAJB11",0,0.227245640694124,0.601,0.485,0
"CLDN1",0,-0.26635328946721,0.293,0.551,0
"HES1",0,0.487811631902582,0.782,0.622,0
"LINC00887",0,0.0759407442205836,0.107,0.03,0
"TFRC",0,-0.273417114553791,0.414,0.551,0
"LINC00885",0,-0.161638335625849,0.054,0.188,0
"TM4SF19",0,0.282161616822039,0.255,0.075,0
"RNF168",0,0.719431634158816,0.698,0.555,0
"NSD2",0,-0.349875566835476,0.397,0.542,0
"NSG1",0,0.253182034093643,0.341,0.09,0
"AFAP1",0,-0.319686005719058,0.413,0.541,0
"CPEB2",0,0.124382617069232,0.2,0.082,0
"AC098829.1",0,-0.246794967624625,0.076,0.227,0
"CD38",0,-0.144000688146565,0.017,0.105,0
"FGFBP1",0,1.33349886023138,0.75,0.458,0
"LINC02438",0,-0.145507860110314,0.027,0.128,0
"AC024230.1",0,-0.359605615109071,0.111,0.281,0
"PCDH7",0,-0.458013508834033,0.273,0.436,0
"KLF3-AS1",0,-0.141495537058153,0.079,0.188,0
"TMEM156",0,-0.233167765163639,0.01,0.179,0
"KLHL5",0,-0.843890352051006,0.405,0.742,0
"AC079921.1",0,-0.154467523722,0.07,0.199,0
"RPL9",0,-0.291265262207524,0.995,0.994,0
"UGDH",0,-0.205862827902165,0.299,0.42,0
"PDS5A",0,-0.291742971297719,0.672,0.727,0
"RBM47",0,-0.315625353974701,0.386,0.549,0
