"","column","cor","p.adj"
"46","SARM1",-0.370354730076667,7.41667820393881e-11
"47","POLDIP2",-0.0951830106027722,1
"48","PLXND1",-0.216694971853102,0.114323046713735
"49","AK2",0.260529053243214,0.00100958448177083
"50","CD38",-0.186717692865451,1
"51","FKBP4",-0.0955661214075902,1
"52","KDM1A",0.141651785795287,1
"53","RBM6",-0.0597263308461818,1
"54","CAMKK1",-0.219425879217776,0.0875923138442922
"55","RECQL",0.0952081691563385,1
"56","VPS50",0.0108347847790359,1
"57","HSPB6",-0.135219362316632,1
"58","ARHGAP33",-0.0586125786036168,1
"59","NDUFAB1",-0.0302550243180537,1
"60","PDK4",-0.136935465704328,1
"61","SLC22A16",-0.10141689368421,1
"62","ZMYND10",-0.195053827539215,0.822621154007643
"63","ABCB5",-0.0962993334338862,1
"64","ARX",-0.139887699951324,1
"65","SLC25A13",0.00832349477051075,1
"66","ST7",-0.102941962771053,1
"67","CDC27",0.200247086559936,0.522832404655831
"68","SLC4A1",-0.0938818822396334,1
"69","CALCR",-0.216189804686851,0.119995902627141
"70","HCCS",0.137266514979973,1
"71","DVL2",-0.181494415406481,1
"72","PRSS22",0.149091476784779,1
"73","UPF1",-0.152170141636303,1
"74","SKAP2",-0.011754133242746,1
"75","SLC25A5",-0.041386308206729,1
"76","MCUB",0.296089819001023,1.0430707066593e-05
"77","HOXA11",0.0177831040167051,1
"78","POLR2J",-0.138160166847665,1
"79","DHX33",0.027526366539354,1
"80","MEOX1",-0.178125923239221,1
"81","THSD7A",-0.316753169315988,5.32770326322061e-07
"82","LIG3",-0.212717176205789,0.167055071612709
"83","RPAP3",-0.0333219256022813,1
"84","ACSM3",-0.300552660017629,5.59928764983003e-06
"85","REXO5",-0.221277304217755,0.0730315441447783
"86","CIAPIN1",0.211172505230669,0.193249027473352
"87","SPPL2B",-0.206402497082509,0.300918434660851
"88","COPZ2",-0.0350860871169396,1
"89","PRKAR2B",-0.354010018921355,1.33806318731622e-09
"90","MSL3",-0.071650732514512,1
"91","CREBBP",-0.146861527838037,1
"92","TSPOAP1",-0.337042883676311,2.26364844271822e-08
"93","MPO",-0.0808569866124546,1
"94","PON1",-0.0703407185253057,1
"95","GCFC2",-0.160437850061067,1
"96","WDR54",0.231760618481727,0.0251435794872281
"97","CROT",-0.023275943976631,1
"98","ABCB4",-0.355249651704826,1.08085935022497e-09
"99","KMT2E",-0.213437977654806,0.156131619264359
"100","RHBDD2",-0.27600440002968,0.000150046321169527
"101","SOX8",-0.252143813067693,0.00269021448591047
"102","IBTK",0.125750109360732,1
"103","ZNF195",-0.0367541337255912,1
"104","MYCBP2",-0.0609592442072306,1
"105","FBXL3",0.0233357884575085,1
"106","ITGAL",-0.207915290228111,0.261862316273023
"107","PDK2",-0.0196623760927521,1
"108","ITGA3",0.603411672793199,8.0185979231616e-39
"109","ZFX",-0.193499204374523,0.940013733849664
"110","LAMP2",0.0292273954163683,1
"111","ITGA2B",-0.107261782029523,1
"112","ASB4",-0.0886686835642029,1
"113","GDE1",-0.0712970458644387,1
"114","REX1BD",-0.134213694523941,1
"115","CRLF1",0.070659093319943,1
"116","OSBPL7",-0.176305967410376,1
"117","TMEM98",-0.234368259939607,0.019118940768419
"118","YBX2",-0.202845661902506,0.414947409324493
"119","KRT33A",-0.199913746133081,0.53851203363869
"120","MAP3K14",-0.0551896500158282,1
"121","ABCC8",-0.169025087986815,1
"122","CACNG3",-0.100482356671903,1
"123","TMEM132A",0.00462281283211989,1
"124","AP2B1",0.132780912110175,1
"125","TAC1",-0.0383977030041883,1
