"ID_REF"	"GSM237996"	"GSM237997"	"GSM237998"	"GSM237999"	"GSM238000"	"GSM238001"	"GSM238002"	"GSM238003"	"GSM238004"	"GSM238005"	"GSM238006"	"GSM238007"	"GSM238008"	"GSM238009"	"GSM238010"	"GSM238011"	"GSM238012"	"GSM238013"	"GSM238014"	"GSM238015"	"GSM238016"	"GSM238017"
"1487_at"	7.818176262	7.933976569	7.95935611	7.721310293	8.124432343	7.81598531	7.664761155	8.022272274	7.853276813	7.80206728	7.714822121	7.866641704	7.788414849	7.866772911	7.686579996	8.054502118	7.832606268	8.130380573	7.602479975	7.749490421	7.563253668	7.699512613
"1494_f_at"	6.687314614	6.725826196	6.812679686	6.933071951	7.146965877	6.838430528	6.850626738	6.498666581	6.61587123	6.703701843	6.562021554	6.936780598	6.59159426	6.780689412	6.85034042	6.452205025	6.657645425	6.878942944	6.611370992	6.851514091	6.506758303	6.687987915
"1598_g_at"	10.44687159	10.50708491	10.50873782	10.02314852	10.25995786	10.02475582	9.726955803	9.758603831	10.28936875	9.62357071	9.874514413	10.06877134	10.04109173	9.948733011	10.6254603	10.05095491	10.06938513	10.00354723	10.10251655	10.03718865	9.939502912	9.736840818
"160020_at"	8.457021412	9.23195353	8.228967773	8.888267242	8.609119125	8.568811464	9.076990737	9.309697592	8.903930663	9.016087573	8.605385763	9.156646383	10.29260143	8.34028486	9.126612522	9.021068895	8.494883629	9.270224475	9.83482839	8.8306733	8.531265359	9.676776215
"1729_at"	8.088528786	7.800596818	7.881869868	8.016487737	7.780098941	7.513220749	7.631155752	7.951169114	7.799667899	8.093381626	8.109362048	7.957348741	8.027383099	7.957925147	7.972013405	7.69653172	7.862381056	7.781064997	8.068172051	8.382960077	8.062472267	8.086172674
"1773_at"	6.270353122	6.119069926	6.215056434	6.20338375	6.332042723	6.333945421	6.419322897	6.046995411	6.241711358	6.443434411	5.812574914	6.220765387	6.924585553	6.226603028	5.948933002	6.213898928	5.842626051	6.405539309	6.420204445	6.370851841	6.187634881	6.477825454
"177_at"	5.958568487	5.670330681	5.962621487	5.481667605	6.735743612	6.198335675	5.745992641	5.984872235	6.498049142	6.325743537	5.862159281	5.952864037	5.86447357	5.773907743	5.676856912	5.786305787	6.174220029	5.855058726	6.293333057	6.012393596	5.76355612	5.708259942
"1861_at"	6.83851756	6.523818994	6.808272131	6.594224226	6.727572628	6.532731045	6.589679511	7.176385456	6.467826631	7.216427937	6.112123729	6.422392844	7.21295272	7.185191599	6.10680066	6.603093564	6.084024632	6.840386168	6.830805523	6.820639924	6.560542275	6.753321537
"200000_s_at"	8.474914684	8.963970591	9.150591129	8.421363495	8.991698835	9.327749875	9.128666326	8.519731121	9.030931582	8.892992116	9.212515053	8.989415234	9.321003362	8.681965128	9.012708267	8.653518538	8.852144325	9.339081276	9.009706919	8.873796229	9.436539058	9.128280659
"200001_at"	11.26902019	10.93101145	10.5922971	10.30484059	10.47200925	10.62915041	10.30029046	10.67214076	10.71487964	10.40534915	10.14666158	10.90153394	11.09741824	10.42627375	10.77567783	10.55528233	10.96754007	10.95002707	10.40419975	11.12099545	10.63913976	10.8913826
"200002_at"	12.23438129	12.65721293	12.57459084	12.31735721	12.4509754	12.22814372	12.43153879	12.77741645	12.55686119	12.57836096	12.34699066	12.44320035	12.07043019	12.8047414	11.93306886	12.61537242	12.49952324	12.61871299	11.94744112	12.35366322	12.49390579	12.10208134
"200003_s_at"	12.39090518	11.90783362	11.93806291	12.17359355	12.32796356	12.05600244	12.09127586	12.33569774	12.573238	12.15627602	11.90213194	12.05580987	11.96695956	12.18070844	11.93549743	12.2834539	12.19734009	12.05174485	12.07322689	12.32194385	12.52563209	12.00757168
"200004_at"	10.83088096	10.7831832	10.5111437	10.8038398	10.51877493	10.86132452	11.01685042	11.06242053	10.74290457	10.26501566	10.84964252	10.8794561	11.6433479	10.86739436	10.79398401	10.82506442	10.98878079	10.65263668	11.0636427	10.66123553	10.88712041	10.86184461
"200005_at"	10.42588691	10.30975719	10.35339351	9.981606061	10.32230338	10.361572	10.3902572	10.50965112	10.69216447	10.76195218	10.65903904	10.39516462	10.86540679	10.46149367	10.18039652	10.63784417	10.70917059	10.80620482	10.54665964	10.46908231	10.51892571	10.38422639
"200006_at"	11.38522035	10.99534838	11.56885353	11.35157117	10.79582589	10.81317883	11.2294854	11.22931935	11.15497913	11.45842942	11.11542484	10.91906944	11.20242384	11.31441206	10.69361958	11.20516922	11.150394	11.45614332	11.0886751	10.92277504	11.23711582	10.99951365
"200007_at"	10.55333555	10.44177181	10.97682319	10.94717387	10.22844843	10.53591523	10.50705037	10.6998408	10.42705843	10.26142958	10.58391458	10.16901995	10.58680415	10.49101211	10.10689808	10.65720414	10.46616103	10.67049029	10.524758	10.45846936	10.5288331	10.50542011
"200008_s_at"	10.31910674	10.20611902	10.1847319	10.46182911	10.27580507	10.48939354	10.39424259	10.6328768	11.37529356	10.21019789	10.45302766	10.43100403	10.68711838	10.01205374	9.96053241	10.79695204	10.45965032	10.26077607	10.29370742	10.14281627	10.79484577	10.49640015
"200009_at"	10.79074158	11.16510108	11.0601346	11.00473284	10.85325799	11.00331075	10.91222247	11.18388027	11.64185575	10.24136052	11.0805659	11.04474168	11.17423937	10.5380413	10.70005357	11.29575273	11.18966346	10.47903596	10.82524007	10.66190512	11.27688795	11.01097141
"200010_at"	11.58315877	11.55392035	12.34153819	11.7742101	11.90300313	11.54371239	11.50784607	11.77870066	11.78484684	11.75138739	11.96432263	11.52578932	11.42466986	11.66269961	11.14870897	11.90996316	11.89984539	11.43392691	11.67616156	11.38431209	11.98535449	11.37154874
"200011_s_at"	9.373394909	9.50292008	9.261750053	8.897827561	9.258382403	9.641234217	9.580279848	9.267649919	9.325070096	9.360139361	9.453625389	9.198726164	9.105282792	9.372855747	9.257461909	9.351010064	9.280231578	9.760333995	8.913319396	8.869033767	9.115291448	9.402468493
"200012_x_at"	12.63537028	12.48498312	13.19325674	12.65328742	12.78981725	12.34103429	12.02683354	12.26184897	12.55032849	12.35971393	12.55903585	12.52173503	12.11022672	12.14974124	12.21334736	12.69470964	12.57337265	12.19893333	12.42492649	12.24406439	12.71907532	11.95220089
"200013_at"	12.2373024	11.65586025	12.53492962	11.98624151	12.65387905	12.19263617	11.86815797	12.3643791	12.39918288	12.4793493	12.10889938	11.91812693	12.1440029	12.05309808	11.61300894	12.37030873	12.15004151	12.2819304	12.22215264	12.05001568	12.2419586	11.45119188
"200014_s_at"	9.672822839	9.581275575	9.36092615	10.12574267	9.662053036	9.899625101	9.753484695	10.30837553	9.766993813	10.21740288	9.897597369	9.5500168	9.825514046	9.682149161	9.060100436	10.20776067	9.762081053	9.760516273	9.777941034	9.855523711	9.828513387	9.933865372
"200015_s_at"	9.728516305	9.677567969	10.30953065	9.576732088	10.11121912	9.593217585	9.781250629	9.830643184	9.956529611	9.734799315	9.763994968	9.632504387	10.14541148	9.445470451	9.630619027	9.25416415	9.741038519	9.454500729	10.23662924	9.657482387	9.888222688	9.510862675
"200016_x_at"	11.48092419	11.43751461	11.58695518	11.30941239	11.73371684	11.62280867	11.67368291	11.73651033	11.62683677	11.10702543	11.56956142	11.54627546	11.21856251	11.46803326	11.28505431	11.5357809	11.67568242	11.29962119	11.29675842	11.30684165	11.69430485	11.25086782
"200017_at"	11.5017238	11.46961803	12.18533882	11.58021264	11.64125217	11.59400071	11.33379334	11.77403478	12.01121022	11.56909688	11.71160859	11.4404635	11.40480436	11.46654373	11.17956296	11.83670487	11.8466262	11.77016601	11.54822295	11.35666946	11.83248103	11.35820112
"200018_at"	12.56455475	12.62213159	13.02204406	12.60027358	12.86414942	12.7110494	12.4885742	12.62870518	12.76435334	12.20449034	12.62673175	12.46337192	12.5989632	12.77295937	12.52398129	12.70675412	12.82815619	12.40442854	12.58278755	12.40709356	12.83896968	12.60287859
"200019_s_at"	12.00639542	11.97760933	12.24227119	12.39549184	12.17886443	12.06771574	11.98601512	12.39671816	12.05730215	12.06667943	11.80262408	11.93922375	12.03223116	12.12418489	11.63910777	12.06987193	12.25231053	12.1722132	11.93150786	12.19514366	12.12493501	11.9614982
"200020_at"	9.37677169	8.963003065	8.40518819	8.968291066	9.114627108	9.49894932	9.409535617	9.167420213	8.988997934	9.612980407	9.588780716	9.052440625	9.412858682	9.28898929	8.853103358	9.380591259	9.178860829	9.706457879	9.323091193	9.184980837	9.322896235	9.481904352
