"","column","cor","p.adj"
"379","ADPRM",0.20581596085391,1
"380","ADPRS",0.2971750940523,1
"381","ADRA1A",-0.179607323172625,1
"382","ADRA1B",0.274708457792859,1
"383","ADRA1D",-0.0516321439809871,1
"384","ADRA2A",-0.0633644923670606,1
"385","ADRA2B",0.0112378801433614,1
"386","ADRA2C",-0.125646800840421,1
"387","ADRB1",-0.0674976645538629,1
"388","ADRB2",0.472032952461104,0.0268282039609996
"389","ADRB3",-0.0931832453305284,1
"390","ADRM1",0.132517724791353,1
"391","ADSL",-0.0805302425845827,1
"392","ADSS1",0.0199497328031232,1
"393","ADSS2",0.0816013718050175,1
"394","ADTRP",0.387284416191,1
"395","AEBP1",-0.0245065358249673,1
"396","AEBP2",-0.0184570158844699,1
"397","AEN",-0.0461000602109642,1
"398","AFAP1",0.105925708376397,1
"399","AFAP1L1",0.378398435034966,1
"400","AFAP1L2",0.425779651459086,0.328585566303803
"401","AFDN",0.343762029822062,1
"402","AFF1",0.24637518898223,1
"403","AFF2",-0.225106212429371,1
"404","AFF3",-0.328677356070031,1
"405","AFF4",0.107771291880689,1
"406","AFG1L",-0.00929644785561592,1
"407","AFG3L2",0.0411411453609728,1
"408","AFM",-0.107792424220834,1
"409","AFMID",0.0305097202276846,1
"410","AFP",-0.234314126012816,1
"411","AFTPH",0.166134118753482,1
"412","AGA",0.0358375273168482,1
"413","AGAP1",-0.0184100186089299,1
"414","AGAP2",0.215414318957381,1
"415","AGAP3",-0.0260686064006548,1
"416","AGAP4",-0.0148389565673598,1
"417","AGAP5",0.0862934649658612,1
"418","AGAP6",-0.137737784520255,1
"419","AGAP9",0.00474598818389471,1
"420","AGBL1",-0.117274831067418,1
"421","AGBL2",-0.0585472725273051,1
"422","AGBL3",-0.205093941063652,1
"423","AGBL4",-0.238528258334853,1
"424","AGBL5",-0.210560575876893,1
"425","AGER",-0.0627303605706392,1
"426","AGFG1",0.17457856668091,1
"427","AGFG2",0.0929543086615359,1
"428","AGGF1",-0.150846652476477,1
"429","AGK",-0.149111602110341,1
"430","AGL",0.132697276109036,1
"431","AGMAT",0.393404388754576,1
"432","AGMO",-0.0893829929494259,1
