"","column","cor","p.adj","corr_order","label"
"8736","KHNYN",0.25518824704636,1,7343,""
"8738","KIAA0040",0.432135533220466,0.237870660358989,8847,""
"8741","KIAA0319L",0.221087484412144,1,6749,""
"8743","KIAA0513",0.14183205950953,1,4901,""
"8744","KIAA0586",0.136854557441214,1,4775,""
"8745","KIAA0753",0.16061260477743,1,5396,""
"8747","KIAA0930",0.123830720944137,1,4407,""
"8749","KIAA1191",0.151411543639824,1,5166,""
"8751","KIAA1217",0.31709246217556,1,8160,""
"8753","KIAA1522",0.349349440436337,1,8449,""
"8758","KIAA1671",0.306759760745882,1,8031,""
"8759","KIAA1755",0.194102312833879,1,6181,""
"8762","KIAA2013",0.385987506629072,1,8676,""
"8763","KIAA2026",0.0944961064127413,1,3522,""
"8764","KICS2",0.0493784879800248,1,1897,""
"8767","KIF12",0.0322387549519204,1,1240,""
"8768","KIF13A",0.0277516281855034,1,1077,""
"8769","KIF13B",0.186109521212135,1,6005,""
"8772","KIF16B",0.169050712080739,1,5597,""
"8773","KIF17",0.258020752716256,1,7387,""
"8774","KIF18A",0.0812163378421075,1,3052,""
"8779","KIF1C",0.0564409448943319,1,2159,""
"8781","KIF20B",0.0501506620564974,1,1925,""
"8782","KIF21A",0.0445548020398424,1,1715,""
"8787","KIF25",0.0203814014143721,1,805,""
"8790","KIF27",0.171360042028878,1,5660,""
"8793","KIF2C",0.175823175969347,1,5765,""
"8794","KIF3A",0.076082277927145,1,2860,""
"8798","KIF4B",0.0170469766402546,1,689,""
"8802","KIF6",0.032702770628447,1,1264,""
"8804","KIF9",0.0419702794498942,1,1620,""
"8809","KIFC3",0.0368643919591327,1,1424,""
"8821","KISS1",0.158652605275022,1,5346,""
"8825","KIZ",0.199392419861126,1,6314,""
"8829","KLC2",0.221465917418799,1,6756,""
"8830","KLC3",0.446528687253342,0.111839455194896,8905,""
"8831","KLC4",0.0731567327549003,1,2758,""
"8833","KLF10",0.253582639566316,1,7311,""
"8836","KLF13",0.115683042839806,1,4186,""
"8837","KLF14",0.0885229098377735,1,3326,""
"8839","KLF16",0.103987457455908,1,3828,""
"8840","KLF17",0.000430184604794008,1,22,""
"8843","KLF3",0.2526309164007,1,7297,""
"8844","KLF4",0.487333200590283,0.0107544795604911,8993,""
"8845","KLF5",0.194317291173088,1,6189,""
"8846","KLF6",0.316231150696511,1,8152,""
"8847","KLF7",0.286199246030495,1,7765,""
"8848","KLF8",0.091116801249266,1,3412,""
"8852","KLHDC2",0.0232665575555109,1,913,""
"8855","KLHDC7A",0.205607759122465,1,6436,""
"8856","KLHDC7B",0.439260686968823,0.164478462242569,8881,""
"8859","KLHDC9",0.0433868209958671,1,1673,""
"8861","KLHL10",0.00111152356960201,1,43,""
"8863","KLHL12",0.0519253720477266,1,1991,""
"8864","KLHL13",0.0430317198995167,1,1656,""
"8869","KLHL2",0.375279538984112,1,8625,""
"8871","KLHL21",0.232319273278013,1,6962,""
"8874","KLHL24",0.0666470687636252,1,2532,""
"8877","KLHL28",0.163630704351184,1,5467,""
"8878","KLHL29",0.132776106164082,1,4660,""
"8880","KLHL30",0.307477102322215,1,8041,""
"8881","KLHL31",0.0126886606160156,1,520,""
"8885","KLHL35",0.0555648227465448,1,2129,""
"8886","KLHL36",0.219627002653004,1,6719,""
"8887","KLHL38",0.0302420780415649,1,1182,""
"8888","KLHL4",0.105259162958937,1,3876,""
"8892","KLHL5",0.240120942342418,1,7075,""
"8893","KLHL6",0.102330534412707,1,3775,""
"8894","KLHL7",0.0835319441596623,1,3148,""
"8896","KLHL9",0.0742333781169596,1,2796,""
"8897","KLK1",0.125593569133582,1,4458,""
"8898","KLK10",0.395763849060668,1,8718,""
"8899","KLK11",0.155557509625372,1,5267,""
"8900","KLK12",0.0777120004549079,1,2924,""
"8901","KLK13",0.182655065052135,1,5936,""
"8902","KLK14",0.253184912057711,1,7306,""
"8903","KLK15",0.00733413787120805,1,284,""
"8906","KLK4",0.248951598777191,1,7240,""
"8907","KLK5",0.505598296926622,0.00339886754778336,9018,""
"8908","KLK6",0.392100181074083,1,8701,""
"8909","KLK7",0.475892814834851,0.0213914831270427,8975,""
"8910","KLK8",0.39306651224764,1,8707,""
"8911","KLK9",0.284906280949938,1,7752,""
"8916","KLRC2",0.319069474489409,1,8179,""
"8917","KLRC3",0.315618997161978,1,8143,""
"8918","KLRC4",0.080766442841232,1,3036,""
"8924","KLRK1",0.136788007608851,1,4774,""
"8925","KMO",0.207808922101524,1,6491,""
"8931","KMT5A",0.0712123492240277,1,2687,""
"8932","KMT5B",0.198553960631971,1,6289,""
"8933","KMT5C",0.11678273551302,1,4213,""
"8939","KNSTRN",0.0214065244936198,1,849,""
"8941","KPNA1",0.195253226593222,1,6210,""
"8943","KPNA3",0.0284174424747318,1,1107,""
"8944","KPNA4",0.235214244811305,1,7010,""
"8946","KPNA6",0.24057969028261,1,7081.5,""
"8947","KPNA7",0.395417577746246,1,8717,""
"8949","KPRP",0.0113966897328261,1,454,""
"8950","KPTN",0.0626719307963022,1,2384,""
"8954","KRBOX1",0.0713857203903284,1,2694,""
"8956","KRBOX5",0.248375945647794,1,7236,""
"8957","KRCC1",0.105396694333267,1,3882,""
"8958","KREMEN1",0.0324447850882022,1,1250,""
"8959","KREMEN2",0.2677455844429,1,7510,""
"8962","KRR1",0.151443569587191,1,5169,""
"8964","KRT10",0.0325563165183119,1,1255,""
"8966","KRT13",0.233560830637356,1,6982,""
