"","column","cor","p.adj","corr_order","label"
"467","SLC39A9",0.0816004880617201,1,2984,""
"468","ANK1",0.110988402126807,1,3761,""
"471","RABEP1",0.00959498174543766,1,427,""
"473","NUP160",0.0490824098890773,1,1942,""
"474","BAK1",0.417909341824926,6.0760371113084e-15,6483,""
"477","GRN",0.157421005209114,1,4696,""
"480","CENPQ",0.153025260469669,1,4619,""
"481","SARS1",0.381110189256254,1.00847765042158e-11,6408,""
"486","IFT88",0.0230844373531905,1,945,""
"487","ALG1",0.204158348156014,0.368690456834377,5388,""
"488","ZCCHC8",0.0411865825241499,1,1657,""
"489","ABCF2",0.0385867859979407,1,1562,""
"490","CHPF2",0.118074977663678,1,3925,""
"493","UBA6",0.402367484123537,1.55923700422733e-13,6453,""
"497","SLC4A7",0.0363829495671498,1,1465,""
"499","MAP2K3",0.240111919718165,0.0103234228075321,5739,""
"500","TMSB10",0.411222874751995,2.50523670601527e-14,6464,"TMSB10"
"502","RNF19A",0.127178856234329,1,4119,""
"503","PEX3",0.181057555393363,1,5072,""
"504","GABARAPL2",0.0427622616118225,1,1719,""
"508","VCL",0.147705541935192,1,4515,""
"509","DEPDC1B",0.191259445041225,1,5225,""
"515","RFC1",0.0956010407146798,1,3371,""
"516","TBC1D23",0.132105501197295,1,4234,""
"520","CYP46A1",0.0149520723371007,1,641,""
"521","ZZZ3",0.0750694019355926,1,2808,""
"523","USP2",0.22646043774941,0.0434081253998233,5616,""
"526","RPL26L1",0.178778102860049,1,5024,""
"528","NSUN2",0.143911262272447,1,4449,""
"529","FBXO42",0.149528128795526,1,4555,""
"530","MFAP3",0.119247976494754,1,3948,""
"532","METTL1",0.00324951775701474,1,142,""
"534","AGA",0.0753974672449729,1,2811,""
"535","PI4K2B",0.126913316027732,1,4110,""
"536","BOD1L1",0.00353960867205535,1,154,""
"537","MAT2B",0.0499782027679718,1,1976,""
"538","TLL1",0.308133815387482,1.89795121926144e-06,6184,""
"540","TRIO",0.0880976717844307,1,3160,""
"544","CDH1",0.000309376732328795,1,7,""
"545","MTREX",0.0877093865487484,1,3148,""
"546","DNAH5",0.257678912743058,0.0014147856552644,5875,""
